symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
CYP3A5	0.01545062571143188	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1161626191760769	0.043651644923113894	No data	1	0	0	1	1	0	0	No data	0.5289643675765785	-0.022060910089015118	0	-1	No data	-0.6065725000000001	0.5	0
COMP	0.015405247590284799	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.10298009972208855	0.09488885146735807	No data	No data	0	1	0	0	0	0.5244399999999999	No data	-0.17889143571577415	-0.6208812211648415	0	No data	No data	-0.24042250000000004	0.5	0
RGMB	0.015377909770218206	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12647746939810772	No data	No data	0	0	0	0	0	0.4622450000000001	No data	-0.21014794748906018	No data	0	No data	No data	0	-1	0
STEAP1B	0.015367972342133142	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12639573782500677	No data	No data	0	0	0	0	0	0	No data	0.42779745780370915	No data	0	No data	No data	-0.810605	0.5	0.5
HELZ2	0.0153584617826143	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.1263175170837957	No data	No data	0	0	0	0	0	0	No data	-0.5405292769326944	-0.8066673984283601	0	No data	No data	0	-1	0
LGR5	0.015354573078846025	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12628553397170836	No data	No data	0	0	0	0	0	0.2888649999999998	No data	-0.22900604292560955	-0.7528394880349489	0	No data	No data	0	0.5	0
BLNK	0.015351688593696662	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12626181017649435	No data	No data	1	0	0	0	0	0.2763150000000003	No data	-0.6378412169201917	0	0	No data	No data	0	0.5	0
MAP3K20	0.015345882891622916	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12621406048116263	No data	No data	No data	0	0	1	1	0	0.60625	No data	-0.28422588039174823	-0.47312676704065	0	No data	No data	0	0.5	-1
GNAQ	0.015337563969415128	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12614564050441138	No data	No data	No data	1	0	1	1	0	No data	No data	-0.7544280058345488	-0.6976533123628239	0	No data	-1	-0.7562674999999999	-1	-1
SSPN	0.015317930341005433	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.12598416136495316	No data	No data	0	0	0	0	0	0	No data	0.3198583038132945	0	0	No data	No data	No data	0.5	0
