symbol	globalScore	gwasCredibleSets	geneBurden	eva	genomicsEngland	gene2Phenotype	uniprotLiterature	uniprotVariants	orphanet	clingen	cancerGeneCensus	intogen	evaSomatic	cancerBiomarkers	chembl	crisprScreen	crispr	slapenrich	progeny	reactome	sysbio	europepmc	expressionAtlas	impc	maxClinicalTrialPhase	isInMembrane	isSecreted	hasLigand	hasSmallMoleculeBinder	hasPocket	mouseOrthologMaxIdentityPercentage	hasHighQualityChemicalProbes	geneticConstraint	mouseKoScore	geneEssentiality	hasSafetyEvent	isCancerDriverGene	paralogMaxIdentityPercentage	tissueSpecificity	tissueDistribution
PRXL2B	0.026167228197185467	0.04304310342556868	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.4191899999999997	No data	0.6254428005834549	0	0	No data	No data	No data	0.5	0
AAGAB	0.026157953721813492	0.04302784761782146	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.2857149999999997	No data	0.15909564492602635	-0.022060910089015118	0	No data	No data	No data	-1	-1
NRDC	0.026027294036021515	0.04281292235608888	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.6524749999999997	No data	-0.6629506147113982	-0.6773948436213869	0	No data	No data	0	0.5	-1
MRPL9	0.025616331718804154	0.04213692054990977	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.1742029589497811	No data	0	No data	No data	No data	-1	-1
PPIL2	0.025588281856675516	0.042090780656621196	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.5192300000000003	No data	-0.43644509272765164	No data	-1	No data	No data	0	-1	-1
RMI2	0.02558072354060618	0.04207834780061352	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.21768500000000018	No data	0.9392581787872474	No data	0	No data	No data	No data	0.5	0
TNFRSF11B	0.025437261552053433	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20921181861479013	No data	No data	No data	0	1	0	0	0	0.27680999999999967	No data	-0.4368618462179621	-0.8605283488563581	0	-1	No data	0	0.75	0
SLC22A24	0.02505311870431795	0.04121047790759111	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	No data	No data	0.5808501771202335	No data	No data	No data	No data	0	1	1
ANKMY1	0.024970606229984697	0.041074751152741014	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0	No data	0.3605959574911439	No data	0	No data	No data	No data	0.5	-1
IKZF4	0.024903825870447205	0.040964902532141675	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0	0	0	0	0	0.7350450000000002	No data	-0.6561783704938529	-0.21351584296017412	0	No data	No data	0	-1	-1
HLA-B	0.024389929137063983	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	0.20059790713749612	No data	No data	No data	1	0	0	0	0	0	No data	0.0008335069806209017	-0.6731233513695991	0	-1	No data	-0.6616025000000001	0.5	0
MDGA1	0.02433206943348524	0.04002440660857895	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	No data	1	0	0	0	0	0.8167549999999999	No data	-0.7402583871639925	0	0	No data	No data	0	1	0
